Product_Identifier,Supermarket_Identifier,Product_Supermarket_Identifier,Product_Weight,Product_Fat_Content,Product_Shelf_Visibility,Product_Type,Product_Price,Supermarket_Opening_Year,Supermarket _Size,Supermarket_Location_Type,Supermarket_Type,Average_Price_per_ProductType,Product_Supermarket_Sales
FDW15,CHUKWUDI013,FDW15_CHUKWUDI013,15.35,Normal Fat,0.055067732,Meat,366.43,1994,High,Cluster 3,Supermarket Type1,390.9528030303029,5938.94
FDR15,CHUKWUDI046,FDR15_CHUKWUDI046,9.3,Normal Fat,0.033437991,Meat,383.08,2004,Small,Cluster 1,Supermarket Type1,390.9528030303029,5817.43
FDS24,CHUKWUDI013,FDS24_CHUKWUDI013,20.85,Normal Fat,0.062172698,Baking Goods,225.63,1994,High,Cluster 3,Supermarket Type1,364.91892441860455,1549.65
FDT57,CHUKWUDI017,FDT57_CHUKWUDI017,15.2,Low Fat,0.019142452,Snack Foods,593.81,2014,,Cluster 2,Supermarket Type1,395.3521899736158,8295.87
NCM29,CHUKWUDI018,NCM29_CHUKWUDI018,11.5,Low Fat,0.017714096000000002,Health and Hygiene,332.41,2016,Medium,Cluster 3,Supermarket Type2,367.1430293159605,3606.97
FDU28,CHUKWUDI019,FDU28_CHUKWUDI019,,Normal Fat,0.164438907,Frozen Foods,471.05,1992,Small,Cluster 1,Grocery Store,388.07109409190423,942.11
NCU18,CHUKWUDI017,NCU18_CHUKWUDI017,15.1,Low Fat,0.056155909000000004,Household,351.37,2014,,Cluster 2,Supermarket Type1,399.9994179894175,6704.61
DRL60,CHUKWUDI049,DRL60_CHUKWUDI049,8.52,Low Fat,0.027101431000000002,Soft Drinks,379.42,2006,Medium,Cluster 1,Supermarket Type1,386.99823754789264,6098.73
NCG06,CHUKWUDI027,NCG06_CHUKWUDI027,,Low Fat,0.02930277,Household,640.41,1992,Medium,Cluster 3,Supermarket Type3,399.9994179894175,14815.71
FDZ49,CHUKWUDI027,FDZ49_CHUKWUDI027,,Normal Fat,0.132500853,Canned,550.95,1992,Medium,Cluster 3,Supermarket Type3,391.7176329787233,13222.79
FDO52,CHUKWUDI027,FDO52_CHUKWUDI027,,Normal Fat,0.076790922,Frozen Foods,430.28,1992,Medium,Cluster 3,Supermarket Type3,388.07109409190423,6416.65
NCY18,CHUKWUDI017,NCY18_CHUKWUDI017,7.285,Low Fat,0.031327838999999996,Household,436.51,2014,,Cluster 2,Supermarket Type1,399.9994179894175,7441.98
FDL03,CHUKWUDI045,FDL03_CHUKWUDI045,19.25,Normal Fat,0.027135522000000002,Meat,490.78,2009,,Cluster 2,Supermarket Type1,390.9528030303029,7856.44
FDH60,CHUKWUDI019,FDH60_CHUKWUDI019,,Normal Fat,0.141360118,Baking Goods,493.28,1992,Small,Cluster 1,Grocery Store,364.91892441860455,982.06
NCQ18,CHUKWUDI013,NCQ18_CHUKWUDI013,15.75,Low Fat,0.13496039699999998,Household,253.43,1994,High,Cluster 3,Supermarket Type1,399.9994179894175,5243.18
FDQ39,CHUKWUDI018,FDQ39_CHUKWUDI018,14.8,Low Fat,0.081372267,Meat,478.71,2016,Medium,Cluster 3,Supermarket Type2,390.9528030303029,7643.38
FDT21,CHUKWUDI027,FDT21_CHUKWUDI027,,Low Fat,0.0,Snack Foods,622.02,1992,Medium,Cluster 3,Supermarket Type3,395.3521899736158,16185.6
FDI45,CHUKWUDI035,FDI45_CHUKWUDI035,13.1,Low Fat,0.037574137,Fruits and Vegetables,435.51,2011,Small,Cluster 2,Supermarket Type1,398.2481124497989,9193.03
FDV25,CHUKWUDI019,FDV25_CHUKWUDI019,,Low Fat,0.079931185,Canned,549.36,1992,Small,Cluster 1,Grocery Store,391.7176329787233,2210.46
NCU41,CHUKWUDI049,NCU41_CHUKWUDI049,18.85,Low Fat,0.05213575,Health and Hygiene,475.46,2006,Medium,Cluster 1,Supermarket Type1,367.1430293159605,16719.9
FDZ43,CHUKWUDI035,FDZ43_CHUKWUDI035,11.0,Normal Fat,0.057047756,Fruits and Vegetables,601.13,2011,Small,Cluster 2,Supermarket Type1,398.2481124497989,17570.46
FDV16,CHUKWUDI013,FDV16_CHUKWUDI013,7.75,Normal Fat,0.08286168599999999,Frozen Foods,81.64,1994,High,Cluster 3,Supermarket Type1,388.07109409190423,1697.79
FDV52,CHUKWUDI046,FDV52_CHUKWUDI046,20.7,Normal Fat,0.12152072,Frozen Foods,295.12,2004,Small,Cluster 1,Supermarket Type1,388.07109409190423,2651.55
FDX32,CHUKWUDI017,FDX32_CHUKWUDI017,15.1,Normal Fat,0.100423086,Fruits and Vegetables,361.95,2014,,Cluster 2,Supermarket Type1,398.2481124497989,6501.54
FDZ52,CHUKWUDI046,FDZ52_CHUKWUDI046,19.2,Low Fat,0.100074524,Frozen Foods,275.72,2004,Small,Cluster 1,Supermarket Type1,388.07109409190423,1945.8
FDN12,CHUKWUDI010,FDN12_CHUKWUDI010,15.6,Low Fat,0.13575135,Baking Goods,278.89,2005,,Cluster 3,Grocery Store,364.91892441860455,559.27
FDI14,CHUKWUDI046,FDI14_CHUKWUDI046,14.1,Ultra Low fat,0.089677773,Canned,349.62,2004,Small,Cluster 1,Supermarket Type1,391.7176329787233,4234.49
FDB41,CHUKWUDI010,FDB41_CHUKWUDI010,19.0,Normal Fat,0.162882227,Frozen Foods,117.18,2005,,Cluster 3,Grocery Store,388.07109409190423,472.72
FDL15,CHUKWUDI019,FDL15_CHUKWUDI019,,Low Fat,0.081651443,Meat,381.42,1992,Small,Cluster 1,Grocery Store,390.9528030303029,381.17
DRF60,CHUKWUDI017,DRF60_CHUKWUDI017,10.8,Low Fat,0.052363244,Soft Drinks,591.39,2014,,Cluster 2,Supermarket Type1,386.99823754789264,13109.6
FDJ08,CHUKWUDI017,FDJ08_CHUKWUDI017,11.1,Low Fat,0.11129811099999999,Fruits and Vegetables,479.46,2014,,Cluster 2,Supermarket Type1,398.2481124497989,7643.38
FDA50,CHUKWUDI046,FDA50_CHUKWUDI046,16.25,Low Fat,0.08717513699999999,Dairy,245.85,2004,Small,Cluster 1,Supermarket Type1,409.5043428571421,3378.94
NCH06,CHUKWUDI017,NCH06_CHUKWUDI017,12.3,Low Fat,0.076987408,Household,619.87,2014,,Cluster 2,Supermarket Type1,399.9994179894175,8006.25
NCN14,CHUKWUDI049,NCN14_CHUKWUDI049,19.1,Low Fat,0.092060694,Others,459.4,2006,Medium,Cluster 1,Supermarket Type1,388.6077000000003,11944.45
FDJ60,CHUKWUDI013,FDJ60_CHUKWUDI013,19.35,Normal Fat,0.062476391,Baking Goods,411.3,1994,High,Cluster 3,Supermarket Type1,364.91892441860455,4127.96
FDH31,CHUKWUDI046,FDH31_CHUKWUDI046,12.0,Normal Fat,0.020411155,Meat,246.51,2004,Small,Cluster 1,Supermarket Type1,390.9528030303029,2728.12
FDZ03,CHUKWUDI045,FDZ03_CHUKWUDI045,13.65,Normal Fat,0.078946455,Dairy,465.06,2009,,Cluster 2,Supermarket Type1,409.5043428571421,2796.36
NCP41,CHUKWUDI013,NCP41_CHUKWUDI013,16.6,Low Fat,0.016197216,Health and Hygiene,272.15,1994,High,Cluster 3,Supermarket Type1,367.1430293159605,2426.84
FDW51,CHUKWUDI017,FDW51_CHUKWUDI017,6.155,Normal Fat,0.095195306,Meat,534.89,2014,,Cluster 2,Supermarket Type1,390.9528030303029,5859.04
FDO12,CHUKWUDI017,FDO12_CHUKWUDI017,15.75,Low Fat,0.055241242,Baking Goods,491.36,2014,,Cluster 2,Supermarket Type1,364.91892441860455,7829.81
FDU20,CHUKWUDI049,FDU20_CHUKWUDI049,19.35,Normal Fat,0.021490911,Fruits and Vegetables,305.27,2006,Medium,Cluster 1,Supermarket Type1,398.2481124497989,7230.59
FDC51,CHUKWUDI017,FDC51_CHUKWUDI017,10.895,Normal Fat,0.009676286,Dairy,307.18,2014,,Cluster 2,Supermarket Type1,409.5043428571421,8622.11
FDC17,CHUKWUDI027,FDC17_CHUKWUDI027,,Low Fat,0.015385857,Frozen Foods,522.48,1992,Medium,Cluster 3,Supermarket Type3,388.07109409190423,24195.17
FDY28,CHUKWUDI035,FDY28_CHUKWUDI035,7.47,Normal Fat,0.0,Frozen Foods,535.8,2011,Small,Cluster 2,Supermarket Type1,388.07109409190423,10686.09
NCN43,CHUKWUDI019,NCN43_CHUKWUDI019,,Low Fat,0.011835436000000001,Others,303.43,1992,Small,Cluster 1,Grocery Store,388.6077000000003,615.87
FDE34,CHUKWUDI049,FDE34_CHUKWUDI049,9.195,Low Fat,0.108059141,Snack Foods,454.41,2006,Medium,Cluster 1,Supermarket Type1,395.3521899736158,15449.89
NCA29,CHUKWUDI010,NCA29_CHUKWUDI010,10.5,Ultra Low fat,0.045655118,Household,424.53,2005,,Cluster 3,Grocery Store,399.9994179894175,427.78
FDD33,CHUKWUDI027,FDD33_CHUKWUDI027,,Low Fat,0.0,Fruits and Vegetables,579.91,1992,Medium,Cluster 3,Supermarket Type3,398.2481124497989,17427.32
NCG54,CHUKWUDI045,NCG54_CHUKWUDI045,12.1,Low Fat,0.079968115,Household,427.03,2009,,Cluster 2,Supermarket Type1,399.9994179894175,11549.97
FDZ28,CHUKWUDI018,FDZ28_CHUKWUDI018,20.0,Normal Fat,0.051702257,Frozen Foods,314.67,2016,Medium,Cluster 3,Supermarket Type2,388.07109409190423,1907.52
FDC46,CHUKWUDI035,FDC46_CHUKWUDI035,17.7,Low Fat,0.116520447,Snack Foods,465.07,2011,Small,Cluster 2,Supermarket Type1,395.3521899736158,7377.06
NCL53,CHUKWUDI027,NCL53_CHUKWUDI027,,Low Fat,0.0,Health and Hygiene,438.51,1992,Medium,Cluster 3,Supermarket Type3,367.1430293159605,16824.77
FDQ11,CHUKWUDI035,FDQ11_CHUKWUDI035,5.695,Normal Fat,0.067688124,Breads,647.25,2011,Small,Cluster 2,Supermarket Type1,399.1672262773725,13492.44
NCE30,CHUKWUDI045,NCE30_CHUKWUDI045,16.0,Low Fat,0.0,Household,526.23,2009,,Cluster 2,Supermarket Type1,399.9994179894175,9026.58
FDU21,CHUKWUDI013,FDU21_CHUKWUDI013,11.8,Normal Fat,0.07665661,Snack Foods,80.89,1994,High,Cluster 3,Supermarket Type1,395.3521899736158,424.45
FDS10,CHUKWUDI046,FDS10_CHUKWUDI046,19.2,Low Fat,0.035185588,Snack Foods,453.33,2004,Small,Cluster 1,Supermarket Type1,395.3521899736158,3608.64
FDA43,CHUKWUDI017,FDA43_CHUKWUDI017,10.895,Low Fat,0.065041581,Fruits and Vegetables,490.95,2014,,Cluster 2,Supermarket Type1,398.2481124497989,7803.18
FDM08,CHUKWUDI049,FDM08_CHUKWUDI049,10.1,Normal Fat,0.053667516,Fruits and Vegetables,557.52,2006,Medium,Cluster 1,Supermarket Type1,398.2481124497989,1677.82
FDY03,CHUKWUDI018,FDY03_CHUKWUDI018,17.6,Normal Fat,0.076431919,Meat,283.05,2016,Medium,Cluster 3,Supermarket Type2,390.9528030303029,5063.41
FDL08,CHUKWUDI045,FDL08_CHUKWUDI045,10.8,Low Fat,0.049819857,Fruits and Vegetables,608.04,2009,,Cluster 2,Supermarket Type1,398.2481124497989,3062.68
FDP40,CHUKWUDI049,FDP40_CHUKWUDI049,4.555,Normal Fat,0.034410585,Frozen Foods,278.39,2006,Medium,Cluster 1,Supermarket Type1,388.07109409190423,3355.63
FDB53,CHUKWUDI045,FDB53_CHUKWUDI045,13.35,Low Fat,0.139735226,Frozen Foods,368.85,2009,,Cluster 2,Supermarket Type1,388.07109409190423,9694.05
NCF30,CHUKWUDI049,NCF30_CHUKWUDI049,17.0,Low Fat,0.126440335,Household,313.09,2006,Medium,Cluster 1,Supermarket Type1,399.9994179894175,3460.5
FDE24,CHUKWUDI027,FDE24_CHUKWUDI027,,Low Fat,0.093010026,Baking Goods,357.7,1992,Medium,Cluster 3,Supermarket Type3,364.91892441860455,9261.28
FDU11,CHUKWUDI018,FDU11_CHUKWUDI018,4.785,Low Fat,0.09297084,Breads,305.02,2016,Medium,Cluster 3,Supermarket Type2,399.1672262773725,5121.67
FDR08,CHUKWUDI046,FDR08_CHUKWUDI046,18.7,Low Fat,0.037622954,Fruits and Vegetables,276.97,2004,Small,Cluster 1,Supermarket Type1,398.2481124497989,3335.66
FDW12,CHUKWUDI049,FDW12_CHUKWUDI049,8.315,Normal Fat,0.035627489,Baking Goods,366.61,2006,Medium,Cluster 1,Supermarket Type1,364.91892441860455,2177.17
FDU07,CHUKWUDI035,FDU07_CHUKWUDI035,11.1,Low Fat,0.059835659000000006,Fruits and Vegetables,378.34,2011,Small,Cluster 2,Supermarket Type1,398.2481124497989,7556.83
FDE14,CHUKWUDI049,FDE14_CHUKWUDI049,13.65,Normal Fat,0.031494041,Canned,247.18,2006,Medium,Cluster 1,Supermarket Type1,391.7176329787233,5492.85
FDC44,CHUKWUDI013,FDC44_CHUKWUDI013,15.6,Low Fat,0.17245325399999997,Fruits and Vegetables,287.88,1994,High,Cluster 3,Supermarket Type1,398.2481124497989,1707.78
FDU33,CHUKWUDI010,FDU33_CHUKWUDI010,7.63,Normal Fat,0.225476528,Snack Foods,112.85,2005,,Cluster 3,Grocery Store,395.3521899736158,114.85
FDK52,CHUKWUDI027,FDK52_CHUKWUDI027,,Low Fat,0.0,Frozen Foods,563.27,1992,Medium,Cluster 3,Supermarket Type3,388.07109409190423,10721.04
DRJ23,CHUKWUDI027,DRJ23_CHUKWUDI027,,Low Fat,0.0,Hard Drinks,470.47,1992,Medium,Cluster 3,Supermarket Type3,376.59880597014916,8036.21
FDH21,CHUKWUDI013,FDH21_CHUKWUDI013,10.395,Low Fat,0.031199027999999997,Seafood,398.65,1994,High,Cluster 3,Supermarket Type1,401.9480487804876,792.3
FDK14,CHUKWUDI013,FDK14_CHUKWUDI013,6.98,Ultra Low fat,0.041071581,Canned,206.48,1994,High,Cluster 3,Supermarket Type1,391.7176329787233,3275.74
FDA02,CHUKWUDI013,FDA02_CHUKWUDI013,14.0,Normal Fat,0.029697925,Dairy,357.7,1994,High,Cluster 3,Supermarket Type1,409.5043428571421,7946.32
FDW44,CHUKWUDI010,FDW44_CHUKWUDI010,9.5,Normal Fat,0.058835927999999996,Fruits and Vegetables,425.61,2005,,Cluster 3,Grocery Store,398.2481124497989,426.11
FDM13,CHUKWUDI010,FDM13_CHUKWUDI010,6.425,Low Fat,0.10574254400000001,Breakfast,326.41,2005,,Cluster 3,Grocery Store,395.34833333333324,327.91
FDH47,CHUKWUDI010,FDH47_CHUKWUDI010,13.5,Normal Fat,0.21561193,Starchy Foods,246.52,2005,,Cluster 3,Grocery Store,421.2993827160495,243.02
FDN56,CHUKWUDI019,FDN56_CHUKWUDI019,,Normal Fat,0.18744331399999997,Fruits and Vegetables,364.7,1992,Small,Cluster 1,Grocery Store,398.2481124497989,722.39
FDA04,CHUKWUDI045,FDA04_CHUKWUDI045,11.3,Normal Fat,0.066865326,Frozen Foods,650.49,2009,,Cluster 2,Supermarket Type1,388.07109409190423,7122.4
NCA05,CHUKWUDI046,NCA05_CHUKWUDI046,20.75,Low Fat,0.025130632000000003,Health and Hygiene,375.18,2004,Small,Cluster 1,Supermarket Type1,367.1430293159605,6310.12
FDT08,CHUKWUDI017,FDT08_CHUKWUDI017,13.65,Low Fat,0.049496899000000004,Fruits and Vegetables,378.76,2014,,Cluster 2,Supermarket Type1,398.2481124497989,7115.74
FDN02,CHUKWUDI045,FDN02_CHUKWUDI045,16.5,Low Fat,0.073977473,Canned,517.16,2009,,Cluster 2,Supermarket Type1,391.7176329787233,5176.6
NCP18,CHUKWUDI017,NCP18_CHUKWUDI017,12.15,Low Fat,0.028760012999999997,Household,378.68,2014,,Cluster 2,Supermarket Type1,399.9994179894175,12037.66
FDA19,CHUKWUDI019,FDA19_CHUKWUDI019,,Low Fat,0.0,Fruits and Vegetables,316.75,1992,Small,Cluster 1,Grocery Store,398.2481124497989,642.5
FDF04,CHUKWUDI017,FDF04_CHUKWUDI017,17.5,Low Fat,0.013714183000000001,Frozen Foods,648.08,2014,,Cluster 2,Supermarket Type1,388.07109409190423,7104.09
FDO52,CHUKWUDI017,FDO52_CHUKWUDI017,11.6,Normal Fat,0.07760107,Frozen Foods,427.53,2014,,Cluster 2,Supermarket Type1,388.07109409190423,7699.98
FDA09,CHUKWUDI035,FDA09_CHUKWUDI035,13.35,Normal Fat,0.149338159,Snack Foods,446.67,2011,Small,Cluster 2,Supermarket Type1,395.3521899736158,4494.15
FDZ52,CHUKWUDI049,FDZ52_CHUKWUDI049,19.2,Low Fat,0.10023011400000001,Frozen Foods,282.47,2006,Medium,Cluster 1,Supermarket Type1,388.07109409190423,4169.57
FDQ20,CHUKWUDI013,FDQ20_CHUKWUDI013,8.325,Low Fat,0.029760052000000002,Fruits and Vegetables,96.78,1994,High,Cluster 3,Supermarket Type1,398.2481124497989,710.74
FDI20,CHUKWUDI019,FDI20_CHUKWUDI019,,Low Fat,0.067520165,Fruits and Vegetables,528.4,1992,Small,Cluster 1,Grocery Store,398.2481124497989,1055.29
DRA24,CHUKWUDI013,DRA24_CHUKWUDI013,19.35,Normal Fat,0.039895009,Soft Drinks,406.22,1994,High,Cluster 3,Supermarket Type1,386.99823754789264,11055.61
FDQ01,CHUKWUDI035,FDQ01_CHUKWUDI035,19.7,Normal Fat,0.160671255,Canned,636.75,2011,Small,Cluster 2,Supermarket Type1,391.7176329787233,8925.05
FDK26,CHUKWUDI017,FDK26_CHUKWUDI017,5.46,Normal Fat,0.032359413,Canned,468.56,2014,,Cluster 2,Supermarket Type1,391.7176329787233,7923.02
NCY53,CHUKWUDI046,NCY53_CHUKWUDI046,20.0,Low Fat,0.05848134,Health and Hygiene,283.39,2004,Small,Cluster 1,Supermarket Type1,367.1430293159605,6431.63
NCO30,CHUKWUDI045,NCO30_CHUKWUDI045,19.5,Low Fat,0.015756784,Household,462.65,2009,,Cluster 2,Supermarket Type1,399.9994179894175,5512.82
FDM44,CHUKWUDI018,FDM44_CHUKWUDI018,12.5,Low Fat,0.031176157000000003,Fruits and Vegetables,257.75,2016,Medium,Cluster 3,Supermarket Type2,398.2481124497989,1805.98
NCK18,CHUKWUDI010,NCK18_CHUKWUDI010,9.6,Low Fat,0.011211251,Household,417.3,2005,,Cluster 3,Grocery Store,399.9994179894175,1651.18
NCO14,CHUKWUDI013,NCO14_CHUKWUDI013,9.6,Low Fat,0.029619202999999997,Household,109.02,1994,High,Cluster 3,Supermarket Type1,399.9994179894175,1561.3
FDU44,CHUKWUDI019,FDU44_CHUKWUDI019,,Normal Fat,0.10229590400000001,Fruits and Vegetables,405.89,1992,Small,Cluster 1,Grocery Store,398.2481124497989,1218.41
